Trade Date,Symbol,Close
12/24/19,SNAP,15.61
12/26/19,SNAP,15.97
12/27/19,SNAP,16.03
12/30/19,SNAP,15.89
12/31/19,SNAP,16.33
1/2/20,SNAP,16.78
1/3/20,SNAP,16.75
1/6/20,SNAP,16.78
1/7/20,SNAP,17.03
1/8/20,SNAP,16.67
1/9/20,SNAP,17.36
1/10/20,SNAP,17.41
1/13/20,SNAP,18
1/14/20,SNAP,17.99
1/15/20,SNAP,18.19
1/16/20,SNAP,18.25
1/17/20,SNAP,19.11
1/21/20,SNAP,19
1/22/20,SNAP,19.1
1/23/20,SNAP,19.25
1/24/20,SNAP,19.05
1/27/20,SNAP,18.62
1/28/20,SNAP,18.99
1/29/20,SNAP,19.14
1/30/20,SNAP,18.88
1/31/20,SNAP,18.38
2/3/20,SNAP,18.23
2/4/20,SNAP,18.98
2/5/20,SNAP,16.19
2/6/20,SNAP,17
2/7/20,SNAP,17.13
2/10/20,SNAP,17.6
2/11/20,SNAP,17.61
2/12/20,SNAP,17.4
2/13/20,SNAP,17.59
2/14/20,SNAP,17.56
2/18/20,SNAP,17.17
2/19/20,SNAP,17.2
2/20/20,SNAP,16.92
2/21/20,SNAP,16.7
2/24/20,SNAP,16.15
2/25/20,SNAP,15.89
2/26/20,SNAP,15.67
2/27/20,SNAP,14.66
2/28/20,SNAP,14.17
3/2/20,SNAP,14.39
3/3/20,SNAP,13.55
3/4/20,SNAP,13.63
3/5/20,SNAP,13.85
3/6/20,SNAP,13
3/9/20,SNAP,11.45
3/10/20,SNAP,11.99
3/11/20,SNAP,10.81
3/12/20,SNAP,10.42
3/13/20,SNAP,11.35
3/16/20,SNAP,9.06
3/17/20,SNAP,8.91
3/18/20,SNAP,8.37
3/19/20,SNAP,9.47
3/20/20,SNAP,10.09
3/23/20,SNAP,10.65
3/24/20,SNAP,11
3/25/20,SNAP,11.23
3/26/20,SNAP,11.95
3/27/20,SNAP,12.18
3/30/20,SNAP,11.85
3/31/20,SNAP,11.89
4/1/20,SNAP,11.21
4/2/20,SNAP,11.27
4/3/20,SNAP,11.06
4/6/20,SNAP,12.16
4/7/20,SNAP,12.1
4/8/20,SNAP,13.22
4/9/20,SNAP,13.61
4/13/20,SNAP,13.54
4/14/20,SNAP,13.78
4/15/20,SNAP,13.58
4/16/20,SNAP,13.02
4/17/20,SNAP,12.98
4/20/20,SNAP,12.92
4/21/20,SNAP,12.44
4/22/20,SNAP,17.01
4/23/20,SNAP,16.06
4/24/20,SNAP,16
4/27/20,SNAP,16.91
4/28/20,SNAP,16.41
4/29/20,SNAP,17.83
4/30/20,SNAP,17.61
5/1/20,SNAP,16.79
5/4/20,SNAP,17.1
5/5/20,SNAP,17.51
5/6/20,SNAP,17.33
5/7/20,SNAP,18.15
5/8/20,SNAP,18.23
5/11/20,SNAP,18.09
5/12/20,SNAP,17.38
5/13/20,SNAP,16.77
5/14/20,SNAP,16.93
5/15/20,SNAP,17.1
5/18/20,SNAP,17.49
5/19/20,SNAP,17.48
5/20/20,SNAP,18.23
5/21/20,SNAP,17.55
5/22/20,SNAP,17.67
5/26/20,SNAP,17.41
5/27/20,SNAP,17
5/28/20,SNAP,18.25
5/29/20,SNAP,18.94
